"O#","Title","Artist","Year","Image file",,,,,,,,,,,,,,,
1124,"Cement truck","Wim Delvoye",2007,"MISM_012_20110914142822_lg","outside","rusty","mona","huge","intricate","lacework",,,,,,,,,
1084,"Untitled (sound installation)","Christopher Townend",2010,"MISM_009_20110506144326_lg","dark","echo","tunnel","mona","creepy","creaky",,,,,,,,,
974,"Mona Cinema","Unknown",2010,"MISM_007_20110216170156_lg","mona",,,,,,,,,,,,,,
962,"MONA","Unknown",2010,"mism_006_20120626144722_lg","mona",,,,,,,,,,,,,,
960,"The Wedding' series","Boris Mikhailov","2005-6","MISM_004_20110121094018_lg","mona",,,,,,,,,,,,,,
959,"Neolithic Flints ","Unknown","Unknown","MISM_003_20110121094139_lg","mona",,,,,,,,,,,,,,
957,"Group of Balint Zsako works","Balint Zsako","2006-9","mism_001_20120214114134_lg","people","leaves","yellow","fire","child","cartoon","mona","simple",,,,,,,
1217,"Funeral Songs","Daniel Mudie Cunningham"," 2007-12","2011_011_20120613155321_lg","mona",,,,,,,,,,,,,,
1220,"Two Sisters","Susan Philipsz",2009,"2011_010_20120613160658_lg","mona",,,,,,,,,,,,,,
1119,"Deluxe Suicide Service","Meghan Boody",1994,"2011_007_20110913164254_lg","machine","mona","medical","pinball",,,,,,,,,,,
965,"Untitled","Jannis Kounellis","1991/2011","2011_003_20110215191740_lg","water","blood","chair","goldfish","cut","knife","mona","bowl","sharp","poo","delicate","tension",,,
1078,"Untitled","Balint Zsako",2010,"2011_002_20110518121401_lg","mona",,,,,,,,,,,,,,
748,"The blind leading the blind","Peter Buggenhout","2010-11","2010_035_20110912154752_lg","metal","steel","rusty","mona","dirty","bent","scrap","twisted","beams",,,,,,
709,"everyday happiness","Nell",2010,"2010_028_20101003180722_lg","sculpture","face","happy","funny","shiny","mona","chrome","shit","poo","faeces","shocking","turd",,,
724,"Green Urn","Shari Mendelson",2010,"2010_026_20101003180722_lg","mona",,,,,,,,,,,,,,
725,"V8 Bottle","Shari Mendelson",2009,"2010_025_20101003180722_lg","mona",,,,,,,,,,,,,,
722,"Bottle with Four Handles","Shari Mendelson",2009,"2010_024_20101003180722_lg","mona",,,,,,,,,,,,,,
719,"My Beautiful Chair","Greg Taylor. Dr Philip Nitschke",2010,"2010_015_20110121095320_lg","lamp","computer","death","suicide","mona","creepy","couch","medical",,,,,,,
755,"December from 'Fields of Ecstasy'","Alasdair McLuckie","2009-10","2010_014_20101003180722_lg","mona",,,,,,,,,,,,,,
756,"Cinerarium","Julia deVille",2009,"2010_013_20110121100028_lg","dark","gothic","egg","victorian","mona","jewellery",,,,,,,,,
747,"Love Triangle","Christopher Landoni",2004,"2010_012_20101003180722_lg","mona",,,,,,,,,,,,,,
708,"Lange Eenzame man","Berlinde De Bruyckere",2010,"2010_009_20110121094842_lg","mona",,,,,,,,,,,,,,
264,"Hiroshima in Tasmania - The Archive for the Future","Masao Okabe and Chihiro Minato",2010,"2010_003_01_20110118153944_lg","mona",,,,,,,,,,,,,,
272,"When My Heart Stops Beating","Patrick Hall"," 2008-10","2009_054_20101003180722_lg","records","love","cool","interesting","mona","sound","drawers","voices",,,,,,,
617,"Skull","Jan Fabre",2001,"2009_052_20120402133454_lg","mona",,,,,,,,,,,,,,
1079,"Formations of Silence: Freudian Flowers","Juz Kitson",2009,"2009_029_20120528152724_lg","mona",,,,,,,,,,,,,,
237,"Locus Focus","gelitin",2010,"2009_028_20101003180722_lg","mona",,,,,,,,,,,,,,
268,"Untitled","Jannis Kounellis",2002,"2009_027_20110120202444_lg","brown","grey","mona","messy","bags","cloth","sack","coal","dull","grimy",,,,,
693,"Engpass","Roman Signer"," 2000-11","2009_025_20110803182939_lg","broken","car","concrete","outside","smash","mona","wreck",,,,,,,,
267,"Untitled","Jannis Kounellis",1998,"2009_024_20120613161236_lg","steel","rusty","mona","rope","minimal","hanging","stark",,,,,,,,
95,"Cloaca Professional","Wim Delvoye",2010,"2009_023_20110118100114_lg","food","glass","industrial","machine","mona","poo","smelly","stinky","faeces","nausea",,,,,
950,"Untitled","Duncan Marquiss",2008,"2009_010_20110110180843_lg","mona",,,,,,,,,,,,,,
759,"Untitled","Juul Kraijer",2006,"2009_008_20110117133553_lg","blackandwhite","asian","mona","creepy","eyeball",,,,,,,,,,
760,"Untitled","Juul Kraijer","2006-7","2009_007_20110117133553_lg","mona",,,,,,,,,,,,,,
754,"Portrait of a Man: William Wordsworth, 1770-1850, from Life Mask","Joanna Kane"," 2006-8","2009_006_20101003180722_lg","mona",,,,,,,,,,,,,,
720,"Cunts... and other conversations","Greg Taylor and friends"," 2008-11","2009_003_20101003180722_lg","white","beautiful","cunt","many","mona","plaster","vagina","shocking",,,,,,,
952,"unwritten #8","Vernon Ah Kee",2008,"2008_159_20110117133553_lg","white","black","skull","mask","mona",,,,,,,,,,
589,"Family of the Future, 9","Oleg Kulik",1997,"2008_149_20101003180722_lg","blackandwhite","dog","man","sex","fucking","anal","mona","rape","shocking",,,,,,
224,"In the name of God (Koran)","Gregory Green",2005,"2008_143_20110117133553_lg","mona",,,,,,,,,,,,,,
652,"Placebo","Saskia Olde Wolbers",2002,"2008_141_20101003180722_lg","mona",,,,,,,,,,,,,,
414,"Kryptos","Brigita Ozolins"," 2008-10","2008_127_20110121094712_lg","dark","concrete","mona","eerie","numbers","mysterious","maze","conceptual","atmospheric",,,,,,
322,"Hanging Garden","Mikala Dwyer",2008,"2008_124_20110121094450_lg","mona",,,,,,,,,,,,,,
215,"Untitled III (from 'Bunny')","Polly Borland","2004-5","2008_118_20110117133553_lg","pink","woman","rabbit","stockings","nude","weird","beige","mask","mona","creepy",,,,,
238,"Untitled II (from 'Bunny')","Polly Borland","2004-5","2008_117_20101003180722_lg","mona",,,,,,,,,,,,,,
200,"Head of a man Italy,","Unknown"," c 1600-1700","2008_116_20110117133553_lg","mona",,,,,,,,,,,,,,
259,"Tracing Time","Claire Morgan",2007,"2008_101_20101003180722_lg","mona",,,,,,,,,,,,,,
337,"Pupa","Fiona Hall",2005,"2008_100_20101003180722_lg","woman","black","spread","erotic","legs","mona","blonde","tapes","leotard",,,,,,
497,"Bookshelf","Adam Putnam",1997,"2008_097_20110117133553_lg","mona",,,,,,,,,,,,,,
502,"Wardrobe","Adam Putnam",1997,"2008_096_20110117133553_lg","mona",,,,,,,,,,,,,,
498,"Dishcabinet","Adam Putnam",1997,"2008_095_20110117133553_lg","mona",,,,,,,,,,,,,,
501,"Untitled (Jeans)","Adam Putnam",2008,"2008_094_20110117133553_lg","mona",,,,,,,,,,,,,,
97,"P XIII","Berlinde De Bruyckere",2008,"2008_087_20110121111334_lg","horse","animal","dead","death","mona","hanging","shocking",,,,,,,,
229,"Economical Study on the Skin of Caracans, Caracas, Venezuela, September 2006","Santiago Sierra",2006,"2008_084_20110117133553_lg","mona",,,,,,,,,,,,,,
597,"Light / Dark","Marina Abramovic",1978,"2008_083_01_20110118151154_lg","mona",,,,,,,,,,,,,,
592,"AAA - AAA","Marina Abramovic",1978,"2008_082_01_20110118150809_lg","blackandwhite","film","video","couple","mona",,,,,,,,,,
595,"Expansion in Space","Marina Abramovic",1977,"2008_081_01_20110118145746_lg","blackandwhite","naked","nude","couple","mona",,,,,,,,,,
593,"Breathing in breathing out","Marina Abramovic",1977,"2008_080_01_20110118145441_lg","blackandwhite","sexy","kiss","couple","extreme","mona","breathing","violent",,,,,,,
596,"Rest Energy","Marina Abramovic",1980,"2008_079_01_20110118145213_lg","film","death","video","couple","mona","arrow","bowandarrow",,,,,,,,
232,"Art Must be Beautiful ... Artist Must Be Beautiful ...","Marina Abramovic",1975,"2008_078_01_20110118144858_lg","mona",,,,,,,,,,,,,,
214,"The Morgue (Blood Transfusion Resulting In Aids)","Andres Serrano",1992,"2008_075_20110117133553_lg","mona",,,,,,,,,,,,,,
585,"Untitled (stool for guard)","Taiyo Kimura",2007,"2008_073_20110117133553_lg","woman","asian","poor","young","mona","depression","depressed","tracksuit","slumped",,,,,,
604,"Jungle Book Project","Pierre Bismuth",2002,"2008_069_20101003180722_lg","mona",,,,,,,,,,,,,,
220,"The moth collection","Stephen Shanabrook","2003-7","2008_067_20110117133553_lg","mona","collection","drugs","needles","spoons",,,,,,,,,,
221,"On the Road to Heaven The Highway to Hell","Stephen J Shanabrook",2008,"2008_065_20101003180722_lg","beautiful","dead","death","chocolate","mona","shocking","frightening","sickening","intestines","nausea","disembowelled",,,,
104,"Self Portrait","John Coplans",1990,"2008_059_20110117133553_lg","blackandwhite","hairy","man","naked","nude","fat","mona","torso",,,,,,,
601,"Der Fleck auf dem Spiegel, den der Atemhauch schafft","Dieter Appelt",1977,"2008_057_20110117133553_lg","mona",,,,,,,,,,,,,,
612,"Untitled (Osama)","Wim Delvoye","2002-3","2008_055_20111209174825_lg","mona",,,,,,,,,,,,,,
603,"Untitled, from 'Les jeux de la poupe - The Doll's Game'","Hans Bellmer",1949,"2008_052_20110117133553_lg","woman","flesh","dark","naked","blood","breasts","doll","mona","creepy","thighs","ugly","voluptuous",,,
291,"Zizi the Affectionate Couch","Stephen Barrass, Linda Davy, Robert Davy, Kerry Richens",2002,"2008_048_20110506150326_lg","mona",,,,,,,,,,,,,,
485,"Black and White Tapes","Paul McCarthy"," 1970-75","2008_040_20101003180722_lg","mona",,,,,,,,,,,,,,
458,"Open Book","Vito Acconci",1974,"2008_036_20101003180722_lg","mona",,,,,,,,,,,,,,
457,"Corrections","Vito Acconci",1970,"2008_035_20101003180722_lg","mona",,,,,,,,,,,,,,
661,"Blutclip","Pipilotti Rist",1993,"2008_032_20101003180722_lg","mona",,,,,,,,,,,,,,
663,"Pickelporno","Pipilotti Rist",1992,"2008_031_01_20110121123418_lg","mona",,,,,,,,,,,,,,
107,"Artifact","Gregory Barsamian",2010,"2008_025_20110118095616_lg","motion","beautiful","face","birds","metal","giant","skull","amazing","head","optical","mona","huge","hollow","strobe",
576,"Untitled (White Library)","Wilfredo Prieto","2004-06","2008_024_20120613161153_lg","white","quiet","chairs","library","room","mona","books","minimal","blank","enclosed",,,,,
459,"I Am Making Art","John Baldessari",1971,"2008_011_20101003180722_lg","mona",,,,,,,,,,,,,,
690,"Fahrrad mit Farbe","Roman Signer"," 1995-2003","2008_010_20101003180722_lg","bike","yellow","interesting","mud","mona","dirty","spray","riding","conceptual","skid",,,,,
382,"Go on","Todd McMillan",2007,"2008_008_20101003180722_lg","mona",,,,,,,,,,,,,,
218,"The Arse End of the World","Juan Davila",1994,"2008_005_20110117133553_lg","gay","sex","naked","penis","australian","mona","soldiers","offensive","anus","shocking",,,,,
981,"9/64 O Tannenbaum O Christmas Tree","Kurt Kren",1964,"2007_233_20110329112140_lg","mona",,,,,,,,,,,,,,
980,"8/64 Ana - Aktion Brus","Kurt Kren",1964,"2007_232_20110329112531_lg","mona",,,,,,,,,,,,,,
982,"16/67 20 September 1967","Kurt Kren",1967,"2007_231_20110329112004_lg","mona",,,,,,,,,,,,,,
948,"5 Boxes: Box 5, Zeichenfilm - Balzac und das Auge Gottes","Kurt Kren",1971,"2007_225_01_20110118155708_lg","mona",,,,,,,,,,,,,,
947,"5 Boxes: Box 4, Leda und der Schwan, Otto Muhl","Kurt Kren",1964,"2007_224_20110218171136_lg","woman","film","naked","video","mona","covered","rubbish","goo","sickening","excrement","smeared","queasy","slops",,
945,"5 Boxes: Box 2, Selbstverstummelung (Aktion unter Brus)","Kurt Kren",1965,"2007_222_01_20110118154506_lg","blackandwhite","white","film","video","blood","cut","mona","grainy","bandage","frightening","sickening","violent","queasy",,
944,"5 Boxes: Box 1, Mama und Papa (Materialaktion Otto Muhl)","Kurt Kren",1964,"2007_221_01_20110118154850_lg","mona",,,,,,,,,,,,,,
318,"(a fleeting) Encounter","Pippa Dickson",2006,"2007_213_20110117133553_lg","mona",,,,,,,,,,,,,,
405,"Untitled","David Noonan",2007,"2007_179_20110117133553_lg","mona",,,,,,,,,,,,,,
279,"Washer","Francis Upritchard",2007,"2007_175_20110117133553_lg","mona",,,,,,,,,,,,,,
244,"Lucky One - Les pirates (X)","Philippe Favier",2007,"2007_169_20110117133553_lg","mona",,,,,,,,,,,,,,
486,"Auction","Christopher Miner",2000,"2007_158_20101003180722_lg","flowers","film","video","funny","preacher","mona","american","1980s","gospel",,,,,,
648,"24 action, Studio Nitsch, Vienna July 1967","Hermann Nitsch",1967,"2007_156_01_20110118144420_lg","mona",,,,,,,,,,,,,,
646,"16 action, Vienna,  15.12.1965, re-performed at Schloss Prinzendorf 1988","Hermann Nitsch",1988,"2007_155_01_20110118142657_lg","white","man","naked","penis","blood","mona","sheet",,,,,,,,
645,"15 action, Vienna, 10.10.1965, re-performed at Schloss Prinzendorf 1988","Hermann Nitsch",1988,"2007_149_01_20110118142257_lg","red","man","naked","mona","torso","texta","wound","bandage",,,,,,,
152,"Kitten Trophy Rug","Julia deVille",2005,"2007_140_20110117133553_lg","cat","fur","dead","stuffed","skin","mona","taxidermy",,,,,,,,
