94,"The Butterfly","Atul Dodiya",2006,"2006_074_20101003180722_lg.jpg","wood","dark","words","notice","text","heavy","noose",,,,,,
95,"Cloaca Professional","Wim Delvoye",2010,"2009_023_20110118100114_lg.jpg","food","glass","industrial","machine","mona","poo","smelly","stinky","faeces","nausea",,,
96,"Cholera Seed The Martyrdom of Saint Thomas from 'The Cancer Chronicles'","Damien Hirst",2003,"MISM_007_20110216170156_lg.jpg",,,,,,,,,,,,,
97,"P XIII","Berlinde De Bruyckere",2008,"2008_087_20110121111334_lg.jpg","horse","animal","dead","death","hanging","shocking",,,,,,,
99,"bit.fall","Julius Popp","2006-7","2007_111_20110118095225_lg.jpg","water","fountain","words","text","internet","swish","splash",,,,,,
101,"Untitled (sign)","Sam Porritt",2005,"2008_114_20101003180722_lg.jpg","metal","cross",,,,,,,,,,,
102,"Sooner - or later (from the 'Tattoo' series)","Thomas Hirschhorn",2007,"2008_058_20110117133553_lg.jpg","blue","woman","colour","painting","nude","curvy","voluptuous","buxom",,,,,
103,"The Fairy Horde and the Hedgehog Host","Tessa Farmer","2008-10","2008_023_20120613155056_lg.jpg","light","dead","grey","dry","insects","taxidermy","delicate","dessicated",,,,,
104,"Self Portrait","John Coplans",1990,"2008_059_20110117133553_lg.jpg","blackandwhite","hairy","man","naked","nude","fat","torso",,,,,,
107,"Artifact","Gregory Barsamian",2010,"2008_025_20110118095616_lg.jpg","motion","beautiful","face","birds","metal","giant","skull","amazing","head","optical","huge","hollow","strobe"
108,"Larry Hayes - Texas - September 10, 2003 / Patricia Desmedt - Waregem - Nov 27, 2007","Patrick Guns",2007,"2008_102_20101003180722_lg.jpg","food","sign","funny","fastfood","whitecoat",,,,,,,,
109,"The End of Art","Tamy Ben-Tor",2006,"2006_033_07_20101107121701_lg.jpg","woman","film","video","funny","satire","speaking",,,,,,,
110,"Skin Flint","Jean-Michel Basquiat",1984,"MISM_007_20110216170156_lg.jpg",,,,,,,,,,,,,
112,"Darwin's Girls","Cassandra Laing",2006,"2007_069_20110117133553_lg.jpg","blackandwhite","bird","dead","photo","grim",,,,,,,,
116,"Further Shore","Fiona Hall","2002-5","2006_034_20120613155417_lg.jpg","leaves","design","symbol","many","multiple","simple",,,,,,,
118,"Matrix","Jenny Saville",1999,"2007_078_20110117133553_lg.jpg","red","man","flesh","painting","grey","breasts","ugly","vagina","huge","shocking",,,
122,"Snake","Sidney Nolan","1970-72","2006_021_02_20110112100300_lg.jpg","abstract","giant","snake","large","huge","panels","impressive",,,,,,
123,"Le Grand Macabre","Christoph Ruckhaberle",2007,"2007_119_20110117133553_lg.jpg","blue","men","green","pose","grey","dance","pattern","cartoon","colourful",,,,
126,"The Naked Studio","Brett Whiteley",1981,"MISM_007_20110216170156_lg.jpg",,,,,,,,,,,,,
127,"Van Gogh with bandaged ear","Brett Whiteley",1970,"MISM_007_20110216170156_lg.jpg",,,,,,,,,,,,,
128,"China China - Bust 82","Ah Xian",2004,"2007_135_20110117133553_lg.jpg","china","blue","white","man","tattoo","ceramic","asian","bust","willow",,,,
129,"Fat Car","Erwin Wurm",2006,"2007_079_20110117133553_lg.jpg","red","car","cool","fat","conceptual","melted","obese",,,,,,
139,"Mummy and coffin of Pausiris Egypt, Ptolemaic to Roman Period","Unknown","c 100 BCE","2003_172_20110117133553_lg.jpg","old","man","dead","death","carved","ancient","egyptian","sarcophagus","mummy","coffin",,,
140,"Mummy and coffin of Ta-Sheret-Min, Egypt, Late Period, end 26th - 28th Dynasty","Unknown","c. 664-399 BCE","2003_185_01_20120404095316_lg.jpg","old","dusty","stone","dead","ancient","mummy",,,,,,,
143,"African Monkey","Sidney Nolan",1963,"2004_035_20110117133553_lg.jpg","brown","monster","grey","monkey","ugly",,,,,,,,
144,"Ape and Elephant","Sidney Nolan",1963,"2004_051_20120620180424_lg.jpg","blue","elephant","monster","beard","grey","ugly",,,,,,,
145,"Centaur and angel","Sidney Nolan",1952,"2006_009_20110117133553_lg.jpg","blue","brown","angel","clouds","grey","flying","desert","australian","dry","outback",,,
147,"Dog and Duck Hotel","Sidney Nolan",1948,"2005_033_20110117133553_lg.jpg","blue","sky","brown","duck","pub","desert","australian","dry","outback","mallard","shack",,
149,"Central Australia: Atomic Bomb","Sidney Nolan","1952-57","2006_010_20110117133553_lg.jpg","blue","red","sky","hot","animals","dead","desert","smoke","australian","dry","outback","cracked",
152,"Kitten Trophy Rug","Julia deVille",2005,"2007_140_20110117133553_lg.jpg","cat","fur","dead","stuffed","skin","taxidermy",,,,,,,
154,"The Holy Virgin Mary","Chris Ofili",1996,"2007_065_20110117133553_lg.jpg","blue","fish","black","gold","tribal","shit","swirl","poo","primitive",,,,
160,"Stater of Athens Athens, Greece, Greek","Unknown","c 407-406 BCE","1999_146_20110120185538_lg.jpg","old","woman","coin","roman","head","crown",,,,,,,
161,"Octadrachm of Ptolemy II Philadelphus Alexandria, Egypt, Ptolemaic Period","Unknown","c 265-260 BCE","1999_601_20110120190344_lg.jpg","old","two","man","men","gold","coin","ancient","roman","heads","emperor",,,
167,"Black-topped jar Egypt, Predynastic, Naqada I Period","Unknown","c 4000-3500 BCE","2003_038_20110118131837_lg.jpg","old","orange","brown","black","ceramic","ancient","pot","jar","pottery",,,,
171,"Denarius of Augustus Possibly Colonia Caesaraugusta, Spain, Roman Imperial","Unknown","c 19-18 BCE","2001_182_20110120201901_lg.jpg","old","metal","silver","star","coin","ancient",,,,,,,
172,"Stater of Thasos with nymph and satyr Thasos, Thracian Islands, Greek","Unknown","c 475-440 BCE","2001_174_20110117133553_lg.jpg","old","woman","man","sex","metal","silver","beard","greek","coin","ancient","couple","fucking",
177,"Votive figure of Isis with the Infant Horus Egypt, Late Period, 26th Dynasty","Unknown","c 664-525 BCE","2003_009_20110118223620_lg.jpg","old","metal","silver","ancient","small","egyptian","figure","delicate",,,,,
